Week	Dashboard	Persistence	SpanishProportion
1	0	14.8065794454045	0
2	0	6.34846922834953	0
3	0	13.346998329798	0
4	0	5.28832114822879	0
5	0	13.5507251633752	0
6	0	16.3979917781358	0
7	0	7.32226276512434	0
8	0	15.088015458286	0
9	0	20.8660797675713	0
10	0	25.9150955723257	0
11	0	14.4919333848296	0
12	0	9.48808848170146	0
13	0	13.7270861811702	0
14	0	37.1273717198773	0
15	0	13.0000000000001	0
16	0	15.7332005306815	0
17	0	11.7629625953449	0
18	0	17.613438706382	0
19	0	8.00000000000001	0
20	0	16.7317604995964	0
21	0	20	0
22	0	18.2968124438086	0
23	0	18.2968124438086	0
24	0	18.2968124438086	0
25	0	11.1322232510873	0
26	0	21.8606480276912	0
27	0	19.724639695915	0
28	0	16.8702841617833	0
29	0	24.7347507631936	0
30	0	25.0000000000001	0
31	0	9.53698004043895	0
32	0	12.8066243225841	0
33	0	13.7966193718864	0
34	0	17.0918295635557	0
35	0	15.1489752926739	0
36	0	17.2305604910645	0
37	0	21.3454055947714	0
38	0	14.4612281050317	0
39	0	19.0553559107259	0
40	0	19.0553559107259	0
41	0	17.0000000000002	0
42	0	27.0000000000001	0
43	0	13.8509638898478	0
44	0	11.2528404698646	0
45	0	8.00000000000001	0
46	0	10.6095325129184	0
47	0	10.6095325129184	0
48	0	10.6095325129184	0
49	0	9.99999999999987	0
50	0	10.3105692479166	0
51	0	18	0
52	0	10.6299069738108	0
53	0	9.48808848170146	0
54	0	15.2615057188914	0
55	0	22.2379000772443	0
56	0	21.7376340018041	0
57	0	7.36244830961643	0
58	0	7.36804530759255	0
59	0	11.090204666087	0
60	0	8.7456772434934	0
61	0	10.2784440103782	0
62	0	13.7126190082029	0
63	0	14.0286447894136	0
64	0	18.4007025001903	0
65	0	11.724340973546	0
66	0	26.0000000000002	0
67	0	16.8912372290575	0
68	0	16.4190871224997	0
69	0	20.9011163081553	0
70	0	20.9665273426746	0
71	0	21.0487304856046	0
72	0	23.6350581525329	0
73	0	12.7475335821264	0
74	0	18.024956521065	0
75	0	28.271979106303	0
76	0	20.5549289237434	0
77	0	11.645860837241	0
78	0	14.5311306120597	0
79	0	18.9282657573814	0
80	0	19.1604680110536	0
81	0	15.8681384247051	0
82	0	17.6497172781418	0
83	0	13.0320078915314	0
84	0	20.570460517677	0
85	0	26.0960519523053	0
86	0	11.3110672772795	0
87	0	18.0092389196054	0
88	0	22.0910067876608	0
89	0	22.7472418763396	0
90	0	22.7472418763396	0
91	0	25.5702356404591	0
92	0	23.4221268444097	0
93	0	21.1007361164327	0
94	0	21.1007361164327	0
95	0	21.1007361164327	0
96	0	21.1007361164327	0
97	0	18.9999999999999	0
98	0	14.6150434537542	0
99	0	14.6150434537542	0
100	0	14.6150434537542	0
101	0	14.6150434537542	0
102	0	6.69613634072609	0
103	0	11.1914791031317	0
104	0	19.7846096908267	0
105	0	10.5145163457152	0
106	0	13.0562989907865	0
107	0	4.30706993854975	0
108	0	9.51613341891257	0
109	0	12.3240420026483	0
110	0	10.9012144792394	0
111	0	6.54303297813687	0
112	0	11.8963431546763	0
113	0	17.5229514013531	0
114	0	19.5477394623837	0
115	0	6.75511843886098	0
116	0	11.2921880683302	0
117	0	9.41817476643547	0
118	0	12.8936387044679	0
119	0	25.2112913576814	0
120	0	14.7037295050522	0
121	0	10.804888104065	0
122	0	13.2587137203928	0
123	0	12.9808308171388	0
124	0	22.4628720739815	0
125	0	6.99999999999999	0
126	0	2.62426833321334	.054054
127	0	8.98222860396145	.062285
128	0	7.82217311651579	.7306
129	0	11.5662375040263	.309559
130	0	16.6988631536212	.955897
131	0	11.3661778456417	.08311
132	0	14.954804821109	.444469
133	0	21.4106810352969	.704696
134	0	9.99999999999987	0
135	0	16.7596157055463	.002275
136	0	6.25808459378159	.079512
137	0	9.15079735167297	.001096
138	0	14.9289757764561	0
139	0	24.5652054106292	.296284
140	0	23.9039193152027	.060883
141	0	51.4143148785594	.03125
142	0	4.73325713703963	0
143	0	12.6676216761747	.393466
144	0	16.5896267998805	.006626
145	0	24.69046515733	.4
146	0	8.00000000000001	0
147	0	46.4763098818765	0
148	0	12.0000000000001	0
149	0	8.00000000000001	0
150	0	14	0
151	0	41.7083130081254	.925828
152	0	45.4280614624347	.837343
153	0	23.9799919935935	0
154	0	18	0
155	0	5.02398442387666	.040425
156	0	6.24667548904722	0
157	0	89.5402545610231	.004982
158	0	10.785042927069	0
159	0	5.79728091893072	.034815
160	0	17.8345512013552	.01094
161	0	21.8854935828156	.075984
162	0	3.69944118288149	0
163	0	10.4789418269777	.115811
164	0	10.4211559669685	.162951
165	0	18.404736500524	.025405
166	0	14.8266308564451	.459885
167	0	9.11842130832336	.518622
168	0	13.8079704582036	.034676
169	0	22.6816131318414	0
170	0	17.7263618372313	0
171	0	27.2842712474618	0
172	0	9.99999999999987	0
173	0	15.8394407286786	.581563
174	0	9.5180363394548	.039766
175	0	11.237893415933	.285714
176	0	15.2505025201181	0
177	0	13.4067225887593	.665152
178	0	17.8933201537789	.504405
179	0	17.4285701701831	.014686
180	0	10.1150098321988	.431492
181	0	5.95689046774122	.541143
182	1	18.6585598567676	.7025
183	1	30.0805385124272	.5848
184	1	28.2983298648238	.361021
185	1	29.2724846504377	.872867
186	1	19.5017258608778	.000367
187	1	30.9829976198682	.001566
188	1	22.6158760551849	0
189	1	24.215375629231	.190539
190	1	23.4025241633903	.026
191	1	19.6735846754958	.026
192	1	24.7203358333828	0
193	1	37.8106224779215	0
194	1	23.0000000000002	0
